year,cv,npmi,umass,diversity,tq
1957,0.5400057634218095,-0.5831511158296796,-19.78633162451264,0.9524081632653062,0.514305897293245
1958,0.5364590379488178,-0.537487388303459,-19.1450226357752,0.9217142857142858,0.4944619589779675
1959,0.5655209145579286,-0.5679965836424355,-20.24911274023115,0.9324081632653062,0.5272963172310744
1960,0.5604859334005505,-0.5843733032700563,-20.218402488347202,0.9434285714285714,0.5287784434538908
1961,0.4660324980672928,-0.485238498833356,-16.29332837992357,0.8855510204081632,0.4126955542068565
1962,0.5162399276270933,-0.5498210338579856,-18.604482343537505,0.9224489795918367,0.4762049944641758
1963,0.5133388027263616,-0.5554187077794165,-18.774317891394727,0.9228571428571428,0.4737383808017565
1964,0.5826863809883921,-0.59778495494576,-20.709479124416784,0.9542857142857142,0.5560492892860656
1965,0.6119182814170275,-0.6044562981399649,-21.346053961640617,0.9413061224489796,0.5760024247363057
1966,0.5466379639057275,-0.5470203782155436,-19.19056902987925,0.9028571428571429,0.49353599026917117
1967,0.49399489912435307,-0.5112282750901777,-17.45491787405073,0.8828571428571428,0.4361269252269288
1968,0.5693966721524756,-0.5688096554950747,-20.33470134047342,0.9060408163265308,0.515896625650639
1969,0.5953014297770597,-0.5833700642545727,-20.921427081141324,0.9466938775510204,0.5635682188673111
1970,0.6097543555354686,-0.6073225516172382,-21.422400829333743,0.9413061224489796,0.5739655080554685
1971,0.5682595433563725,-0.5736604838070689,-19.972741702074625,0.9325714285714285,0.5299426141471999
1972,0.6041885558361214,-0.6052052134918241,-21.405253557332934,0.9582040816326531,0.5789359402779097
1973,0.5623405111440641,-0.6138052366809859,-20.800232200358682,0.9053877551020407,0.5091362129876583
1974,0.5228371279515971,-0.5543365078044055,-18.805545276979263,0.9295510204081633,0.4860037857946805
1975,0.48407139583620373,-0.48987098958201164,-16.842894685102628,0.8882448979591837,0.4299739475994884
1976,0.5105997791660571,-0.528089292517021,-18.365048401599946,0.9082448979591838,0.4637496443266574
1977,0.5373228865591154,-0.5705535581351419,-19.5092001991415,0.9360816326530612,0.5029780849121124
1978,0.5353658148261382,-0.5462610161950701,-19.05394222346381,0.9220408163265306,0.49362913293561067
1979,0.5789386897271109,-0.5886435067332507,-20.70680936145912,0.9426938775510204,0.5457619582831573
1980,0.5182827661866425,-0.54600826036921,-18.552262125829625,0.9253877551020409,0.47961252550953304
1981,0.35557249984464506,-0.1715807363873093,-5.316077637785618,0.7459591836734696,0.2652425717208463
1982,0.47103347858326317,-0.4890226514312628,-16.076263949561774,0.8892244897959184,0.41885450466999885
1983,0.448074312240335,-0.5130281736529028,-15.980779683446544,0.8996734693877554,0.4031205710367946
1984,0.5010490867126793,-0.5339210162690696,-17.950160668479235,0.9124897959183674,0.4572021788795372
1985,0.49148986112129883,-0.5250493123528532,-17.71482363301749,0.9156734693877552,0.45004422630184565
1986,0.4786236461315307,-0.5757562062971253,-17.612003236746038,0.9448163265306121,0.45221143512868045
1987,0.5162920208450478,-0.5901511378642259,-18.677401143404563,0.9448979591836734,0.4878432768393002
1988,0.4500796179813253,-0.5021503535673242,-15.307487709012145,0.8968163265306123,0.40363874964431345
1989,0.4836546038897533,-0.5151496953077298,-16.56208196050603,0.9035918367346939,0.437026351873933
1990,0.5350344816570536,-0.5504308425362683,-19.484545779952818,0.9341224489795918,0.4997877202940134
1991,0.532445901489607,-0.5802623628996755,-19.331407019863548,0.9332244897959184,0.4968915547615664
1992,0.4383921180686469,-0.48025892038745505,-15.177048914704326,0.8922448979591836,0.39115313065227025
1993,0.342822680404729,-0.34956947837458635,-9.537014658561782,0.8245714285714284,0.28268178732801363
1994,0.36798057059295247,-0.34555213531485246,-9.421126673135166,0.7951020408163265,0.2925821026592128
1995,0.3640662338674915,-0.31062679230599965,-10.546843500696504,0.7815510204081633,0.284536336575295
1996,0.3846659948102405,-0.3284568663926916,-10.426394602567868,0.7865306122448981,0.30255158040789126
1997,0.4009339181296713,-0.3909599367380321,-13.05798951114085,0.814530612244898,0.32657294980390694
1998,0.3695197511719882,-0.3336575923545517,-11.938519162316995,0.8089795918367347,0.2989339374787268
1999,0.34991790776853043,-0.3296052916983415,-10.651943215765739,0.7755102040816325,0.2713649080653909
2000,0.34392707484927404,-0.32617977752124827,-10.081745054195249,0.7951836734693878,0.27348519478422684
2001,0.44835878709825194,-0.5006323097215576,-15.387870088786476,0.8862040816326533,0.3973373871623367
2002,0.5480275232950554,-0.5702273612287478,-19.73909591201571,0.9329795918367347,0.5112984949991175
2003,0.49062858437240364,-0.5316763176130354,-17.41404016107904,0.8972244897959183,0.4402039812928235
2004,0.42309290606082944,-0.48847023597539957,-15.23939273695767,0.8786122448979593,0.37173460799450675
2005,0.4446915174234131,-0.5088267885919426,-15.989170854879706,0.9141224489795917,0.4065024989475412
2006,0.48692259235508706,-0.5579956769026044,-17.945716952999923,0.9329795918367347,0.4542888414715339
2007,0.46027742351057804,-0.5103523251139841,-16.694438070176936,0.8977142857142857,0.4131976184772103
2008,0.4274714786793998,-0.4860420265970703,-15.014573280525521,0.8928979591836733,0.3816884109220632
2009,0.42401117678718675,-0.4519650472455976,-14.023130913963275,0.8785306122448979,0.3725067987415268
2010,0.37408448254738424,-0.37623919274631845,-10.907925881180171,0.8383673469387755,0.3136202151642152
2011,0.4002933362494062,-0.432573425223482,-13.786004462157605,0.8537142857142858,0.3417361396323502
2012,0.3762632031648433,-0.39849347457271334,-11.830494826234347,0.8143673469387754,0.3064164665120389
2013,0.3909273604690576,-0.3891487139026026,-10.431245683208203,0.8381224489795918,0.32764499672945424
2014,0.3275823038932908,-0.34285559444198765,-5.354093664301446,0.8187755102040817,0.2682163680040577
2015,0.3701843449337025,-0.40987902327153686,-11.30365602082669,0.8546122448979594,0.31636407404987205
2016,0.46314960165292957,-0.5244952883089554,-16.44891327993222,0.9142040816326531,0.4234132562376456
2017,0.5442945477974022,-0.5451956390324476,-19.400823887928944,0.9284081632653062,0.5053275013959065
2018,0.5504554044429342,-0.5553627594492663,-19.543352220835704,0.9158367346938776,0.5041272801996146
